t,T
0.043866849,279.2601713
1.057957136,287.7015757
2.075239398,291.0074479
3.092795258,293.8731317
4.061012312,296.119471
5.052986776,300.1427775
6.04505244,304.0193545
7.062334701,307.3252267
8.053397173,312.8158281
9.019516644,318.4369458
10.03579571,323.3568425
11.02941176,324.7390181
11.99908801,324.6376856
13.01792066,325.4491564
14.01089831,327.8584385
15.00524396,328.0667781
16.02425901,328.58479
