tnur02e-2, dd02
0,1
16.04010025,0.990477138
32.0802005,0.986620616
48.12030075,0.973312298
63.15789474,0.965679795
79.19799499,0.954261836
94.23558897,0.946629333
110.2756892,0.937101734
124.3107769,0.92569325
141.3533835,0.916160913
157.3934837,0.904742954
172.4310777,0.900891169
187.4686717,0.891368307
203.5087719,0.881840708
218.5463659,0.874208205
273.6842105,0.843701882
319.7994987,0.815128559
366.9172932,0.794111934
