t,dd02
0, 0.9999999999999999
0.0017073170731707298, 1.0172043010752687
0.0035365853658536617, 1.0279569892473117
0.005487804878048778, 1.0387096774193547
0.007804878048780484, 1.0387096774193547
0.010731707317073166, 1.0236559139784944
0.014878048780487804, 0.9935483870967741
0.020243902439024387, 0.9290322580645161
0.02817073170731707, 0.7956989247311826
0.034756097560975606, 0.664516129032258
0.0397560975609756, 0.5548387096774192
0.04353658536585366, 0.4645161290322579
0.04682926829268292, 0.38709677419354827
0.04963414634146341, 0.32258064516129026
0.05195121951219512, 0.2709677419354837
0.053780487804878034, 0.22150537634408574
0.05548780487804877, 0.1870967741935481
0.05682926829268293, 0.1548387096774193
0.05804878048780488, 0.12903225806451601
0.0597560975609756, 0.08817204301075265
0.06121951219512194, 0.04946236559139794
0.0625609756097561, 0.01505376344086029
