t,Bar_1
0.18493150684931506, 0.9924426450742241
0.3253424657534246, 0.9794871794871796
0.48972602739726023, 0.9449392712550606
0.660958904, 0.9093117408906883
0.7363013698630136, 0.8736842105263158
0.8698630136986301, 0.8251012145748988
0.9623287671232876, 0.7851551956815115
1.0342465753424657, 0.7462887989203779
1.160958904109589, 0.7031039136302295
1.2842465753424657, 0.6534412955465587
1.3595890410958904, 0.6242914979757085
1.4486301369863013, 0.5886639676113361
1.5342465753424657, 0.5497975708502024
1.6267123287671232, 0.5098515519568151
1.75, 0.47422402159244265
1.869863014, 0.4137651821862348
2.0034246575342465, 0.35870445344129553
2.078767123287671, 0.3349527665317139
2.1643835616438354, 0.3025641025641026
2.2842465753424657, 0.2582995951417004
